ID,Wikidata ID,Name,Wikidata Name,Beziehung Namen,von,bis,Jahre plausibel,typ
1931_55808,Q6776496,Martin Russ,Martin Russell Thayer,unklar,1819-01-27,1906-10-14,nein,Mensch
1931_55809,Q6776496,Martin Russ,Martin Russell Thayer,unklar,1819-01-27,1906-10-14,nein,Mensch
1931_55812,Q1676646,Walter Russ,Walter Russell Stiness,unklar,1854-03-13,1924-03-17,nein,Mensch
1931_55812,Q322965,Walter Russ,Walter Russell,unklar,1871-05-19,1963-05-19,plausibel,Mensch
1931_55831,Q1448806, Rutzen,Franz Rutzen,unklar,-,-,unbekannt,Mensch
1931_55831,Q871555, Rutzen,Groß-Enzersdorf,unklar,-,-,unbekannt,Gemeinde in Österreich
1931_55831,Q681229, Rutzen,Rutzenham,unklar,-,-,unbekannt,Landgemeinde in Österreich
1931_55831,Q2177913, Rutzen,Rutzenmühle,unklar,-,-,unbekannt,-
1931_55831,Q2177910, Rutzen,Rutzendorf (Sachsen bei Ansbach),unklar,-,-,unbekannt,-
1931_55831,Q2177911, Rutzen,Rutzendorf,unklar,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_55831,Q264981, Rutzen,Rutzenmoos,unklar,-,-,unbekannt,-
1931_55842,Q17127211, Rychter,Rychter,unklar,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_55932,Q364051,Adolf Sabor,Adolf Sabor,identisch,1841-09-26,1907-01-27,nein,Mensch
1931_55944,Q406384, Sachs,Sachs,unklar,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
1931_55944,Q1202, Sachs,Sachsen,unklar,-,-,unbekannt,Bundesland
1931_55944,Q1206, Sachs,Sachsen-Anhalt,unklar,-,-,unbekannt,Bundesland
1931_55944,Q101985, Sachs,Sachsen,unklar,-,-,unbekannt,историческое государство
1931_55944,Q157106, Sachs,Liudolfinger,unklar,-,-,unbekannt,Dynastie
1931_55944,Q155570, Sachs,Sachsen-Weimar-Eisenach,unklar,-,-,unbekannt,Großherzogtum
1931_55944,Q496327, Sachs,Hornbostel-Sachs-Systematik,unklar,-,-,unbekannt,-
1931_55968,Q825832,Bernhard Sachs,Bernhard Sachsse,unklar,1864-05-12,-,nein,Mensch
1931_55972,Q15449041,Clara Sachs,Clara Sachs,identisch,1862-02-06,-,nein,Mensch
1931_55973,Q15449041,Clara Sachs,Clara Sachs,identisch,1862-02-06,-,nein,Mensch
1931_55974,Q57696,Curt Sachs,Curt Sachs,identisch,1881-06-29,1959-02-05,plausibel,Mensch
1931_55986,Q1338086,Emma Sachs,Emma Sachse,unklar,-,-,unbekannt,Mensch
1931_55987,Q1338086,Emma Sachs,Emma Sachse,unklar,-,-,unbekannt,Mensch
1931_55992,Q108198,Ernst Sachs,Ernst Sachs,identisch,1867-11-22,1932-07-02,plausibel,Mensch
1931_55992,Q113141,Ernst Sachs,Ernst Sachs,identisch,1880-12-24,1956-08-23,plausibel,Mensch
1931_55992,Q16064254,Ernst Sachs,Ernst Sachs,identisch,-,-,unbekannt,Mensch
1931_55992,Q1359999,Ernst Sachs,Ernst Sachs,identisch,-,-,unbekannt,Wikimedia-Begriffsklärungsseite
