id,lat,lon
1931_177,52.5337709,13.3527452
1931_178,52.4469887,13.3976524
1931_179,52.5237069,13.4022376
1931_180,52.5537372,13.4143485
1931_181,,
1931_182,52.52065246,13.45443546
1931_183,52.5043657,13.3122537
1931_184,,
1931_185,52.4661702,13.3444783
1931_186,52.4955884,13.4197506
1931_187,52.5071237,13.4033047
1931_188,52.50212,13.2971208
1931_189,52.5278957,13.4216546
1931_190,52.50376705,13.2938667527411
1931_191,52.4940599,13.3411026
1931_192,52.50851,13.294194
1931_193,52.4047393,13.3917529
1931_194,52.4906693,13.4316556
1931_195,52.5171188,13.4288459
1931_196,52.5041871,13.3597314
1931_197,52.4788969,13.4489558
1931_198,52.5417038,13.4920261
1931_199,52.5043656,13.3444661
1931_200,,
1931_201,52.5247862,13.407533
1931_202,52.5367555,13.3756237
1931_203,,
1931_204,52.5011981,13.3018796
1931_205,,
1931_206,52.44580615,13.2909049317362
1931_207,52.5208932,13.3850975
1931_208,52.5062962,13.31088
1931_209,52.4931343,13.3445468
1931_210,52.5335491,13.4304712
1931_211,52.490203,13.3440688
1931_212,52.5335491,13.4304712
1931_213,52.4911324,13.3479563
1931_214,52.4984258,13.3142088
1931_215,,
1931_216,52.53548945,13.4036145660361
1931_217,,
1931_218,52.4397346,13.3302157
1931_219,52.4474096,13.1707916962866
1931_220,52.5210805,13.3452007
1931_221,,
1931_222,52.5405527,13.49448
1931_223,52.4466009,13.2902142883172
1931_224,,
1931_225,,
1931_226,52.5091305,13.6224559
1931_227,52.4892444,13.4335491
1931_228,52.52675465,13.34551394
1931_229,52.5118583,13.2951978
1931_230,,
1931_231,,
1931_232,52.511238,13.3045542
1931_233,52.5020451,13.3078321
1931_234,52.490088,13.286693
1931_235,52.5441289,13.3917438
1931_236,52.4997754,13.3440378
1931_237,52.5236417,13.3996457
1931_238,52.5197781,13.3320203
1931_239,52.4471471,13.3707731
1931_240,52.4895911,13.3763598669916
1931_241,52.5205008,13.3328609
1931_242,52.5270689,13.4249098
1931_243,52.4891203,13.334443
1931_244,52.5101788,13.460595
1931_245,52.43496905,13.3017489734546
1931_246,52.4960621,13.352436
1931_247,52.4729172,13.1129021
1931_248,52.490511,13.3381406
1931_249,52.5503864,13.3889994
1931_250,,
1931_251,52.5418851,13.3937219
1931_252,52.4323478,13.3367686415619
1931_253,52.5366261,13.4267868
1931_254,,
1931_255,52.5229264,13.3296492
1931_256,52.4958028,13.2994398
1931_257,52.41346,13.0886534
1931_258,52.5366261,13.4267868
1931_259,52.5089268,13.4515188
1931_260,52.4896501,13.4341208
1931_261,52.5616758,13.4367787
1931_262,52.4916806,13.3448568
1931_263,52.4978886,13.360601
1931_264,52.501853,13.3226456
1931_265,52.5077953,13.3159532
1931_266,52.5406157,13.6014259
1931_267,52.5091305,13.6224559
1931_268,52.4998655,13.4236005463009
1931_269,52.4374583,13.3345577
1931_270,52.5468207,13.45377
1931_271,52.4959436,13.2951469
1931_272,52.4426196,13.2607441197984
1931_273,52.4305506,13.33495595
1931_274,52.5214286,13.3377104
1931_275,52.4958393,13.3216075
1931_276,52.5389394,13.4872722
1931_277,52.5253695,13.3975034
1931_278,52.5306758,13.4081444
1931_279,52.4950479,13.3428426
1931_280,,
1931_281,52.4971808,13.2972469
1931_282,52.5189113,13.3328441
1931_283,,
1931_284,52.5539484,13.4221465
1931_285,,
1931_286,52.4982073,13.3122936
1931_287,52.5222693,13.3442621433967
1931_288,52.4900432,13.3262895
1931_289,52.5352150375,13.3813145
1931_290,52.4873308,13.3550641
1931_291,52.5092186,13.3741268
1931_292,52.496124,13.360566
1931_293,52.5138302,13.4995992
1931_294,,
1931_295,52.490203,13.3440688
1931_296,52.5357882,13.4126922
1931_297,52.4898692,13.3340996
1931_298,52.5107571,13.6085641
1931_299,52.5319861,13.6538983
1931_300,52.5098783,13.4125111
1931_301,52.5327323,13.2074366
1931_302,52.497184,13.3987436
1931_303,52.4902587,13.3483519
1931_304,52.5111419,13.4047595
1931_305,52.47545565,13.3193419805629
1931_306,52.51479925,13.3358774144584
1931_307,52.5066694,13.3883658
1931_308,52.4981995,13.347985
1931_309,52.497184,13.3987436
1931_310,52.5338167,13.4124091
1931_311,52.5901924,13.2834875
1931_312,52.5372718,13.4048499
1931_313,52.5339445,13.3943886
1931_314,52.4541915,13.5680712
1931_315,52.4998642,13.4150755899916
1931_316,52.5273933,13.4128913
1931_317,52.4907911,13.3350659
1931_318,52.490511,13.3381406
1931_319,52.5251891,13.4161874
1931_320,,
1931_321,52.5251891,13.4161874
1931_322,52.5156112,13.3047481
1931_323,52.50828835,13.3250455713563
1931_324,52.4919388,13.3466692
1931_325,52.5187231,13.3362691
1931_326,52.5204887625,13.450230725
1931_327,52.5056609,13.313607
1931_328,52.4951194,13.334592
1931_329,52.5062737,13.3112874
1931_330,52.5107917,13.6052281
1931_331,52.5378281,13.4270748359322
1931_332,52.4965061,13.4346463
1931_333,52.4841759,13.3830100316607
1931_334,,
1931_335,52.4911403,13.3471396
1931_336,52.4936622,13.3336516
1931_337,52.48640745,13.2776383579934
1931_338,,
1931_339,52.4964,13.3160784
1931_340,52.5029648,13.3108165
1931_341,52.5227305,13.3395328
1931_342,52.4506184,13.3267652
1931_343,52.4832269,13.295909
1931_344,52.4930054,13.421559
1931_345,,
1931_346,52.512074,13.4168443
1931_347,,
